valence,year,acousticness,artists_combined,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,artist_count,artist_1,genre,anomaly
0.311,1966,0.699,['Frank Sinatra'],0.542,708347,0.483,0,3RZPDE46aqSx6aYPC0zf3a,0.0,1,0.884,-18.115,1,The Tea Break (Sinatra Monologue) - Live At The Sands Hotel And Casino/1966,30,1966-07,0.925,134.09,1,Frank Sinatra,swing,-1
0.0,1968,0.404,['Jimi Hendrix'],0.0,61773,0.391,0,3q3gK9I4mj03565IGtVA0d,0.932,6,0.0603,-20.962,1,"Moon, Turn the Tides...Gently Gently Away",39,10/25/1968,0.0,0.0,1,Jimi Hendrix,Rock,-1
0.124,1969,0.0966,['Pink Floyd'],0.2,529348,0.404,0,60WujjVzXLbbx4D6pSVg56,0.729,9,0.681,-13.68,0,"Careful with That Axe, Eugene - Live",37,10/25/1969,0.0284,81.895,1,Pink Floyd,psychedelia,-1
0.0782,1976,0.103,['Led Zeppelin'],0.288,638320,0.593,0,6CaacdmM2MaOV7Pqmru0BW,0.407,7,0.901,-10.116,1,No Quarter - (Live at MSG 1973) [Remaster],41,10/22/1976,0.049,122.083,1,Led Zeppelin,heavy metal,-1
0.0889,1980,0.991,"['Brian Eno', 'Harold Budd']",0.0887,389133,0.0115,0,244AfRQzVwSOzkkRHGPWge,0.913,0,0.111,-35.008,1,An Arc Of Doves - 2004 Digital Remaster,41,1/1/1980,0.0388,69.478,2,Brian Eno,Ambient,-1
0.351,1982,0.431,['Bad Brains'],0.2,67947,0.856,1,0HX8txPQI5ni5gZ13JceRX,0.427,11,0.362,-13.721,1,The Regulator,38,1/1/1982,0.0484,166.073,1,Bad Brains,alternative metal,-1
0.0785,1982,0.437,['Bad Brains'],0.204,147760,0.968,1,5LVC9BaSd6RlaMqX6LDbS2,0.988,11,0.121,-11.225,1,Right Brigade,37,1/1/1982,0.0777,140.059,1,Bad Brains,alternative metal,-1
0.0456,1984,0.995,"['Harold Budd', 'Brian Eno']",0.207,284133,0.00769,0,2Ef5Vgw0ShuKGoNfO6Nrof,0.966,1,0.321,-32.85,0,Late October - 2005 Digital Remaster,40,1/1/1984,0.0431,122.714,2,Harold Budd,Minimalism,-1
0.0305,1988,0.00655,['Dead Can Dance'],0.117,378173,0.297,0,6NfhJnufcldpDimI4UiLof,0.881,5,0.108,-13.086,0,The Host Of Seraphim (Remastered),49,1/1/1988,0.0383,57.063,1,Dead Can Dance,world,-1
0.0318,1990,0.969,['Danny Elfman'],0.064,155200,0.0404,0,4mHz1B1A0p1ItAxea0zhff,0.918,0,0.0785,-26.424,1,Storytime,44,1/1/1990,0.042,33.334,1,Danny Elfman,pop,-1
0.0326,1992,0.989,['Aphex Twin'],0.183,77347,0.0896,0,2FQviMkaoixlgWuGL4u1EO,0.899,2,0.107,-27.54,1,I,47,2/10/1992,0.0486,76.923,1,Aphex Twin,Electronic,-1
0.926,1994,0.45,['Nas'],0.613,105320,0.899,1,4N0olzsMpr5cAPFrzNErGv,0.0,1,0.422,-4.669,1,The Genesis,50,4/19/1994,0.432,98.158,1,Nas,Hip hop,-1
0.276,1996,0.000293,['Marilyn Manson'],0.485,336333,0.926,1,4zlGdsGD7D6qECEUOKByjF,0.362,5,0.706,-7.502,1,The Reflecting God,51,1/1/1996,0.119,170.039,1,Marilyn Manson,industrial rock,-1
